Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited
1,95,1,Apr 3,PIT,@,BOS,L3-5,GS-5,L(0-1),99,5.0,7,5,5,1,2,1,0,9.00,5.56,22,76,47,10,3,10,9,5,1,0,34,,,0,0,0,21,0,1,0,1,0,0,.89,-0.155,.82,-0.09%,-2.23,1b start tie,5b 3 out d5
2,96,5,Apr 9,PIT,,ATL,W6-5,GS-6,,5,6.0,8,3,3,2,4,2,0,6.55,6.43,28,98,67,22,9,12,10,7,1,0,46,,,1,0,0,24,2,0,0,0,0,0,.97,-0.068,.94,-0.04%,0.01,1t start tie,6t 3 out d1
3,97,10,Apr 14,PIT,@,CHC,W4-2,GS-6,W(1-1),4,6.0,6,2,2,1,5,0,0,5.29,4.86,25,114,72,20,9,10,9,4,2,0,56,,,2,0,0,24,3,0,0,0,0,0,1.12,0.086,1.00,0.05%,1.20,1b start tie,6b 3 out a2
4,98,15,Apr 19,PIT,@,STL,L1-2,GS-6,L(1-2),4,6.0,6,2,2,2,8,2,0,4.70,5.11,25,91,62,20,11,4,11,9,0,0,58,,,0,0,1,23,0,0,0,0,0,0,.98,0.044,.92,0.03%,1.04,1b start tie,6b 3 out d1
5,99,20,Apr 25,PIT,,CHC,L0-1,GS-7,L(1-3),5,7.0,2,1,0,0,8,0,0,3.60,4.12,24,78,56,17,10,10,6,1,1,0,79,,,1,0,0,24,1,0,0,0,0,1,.77,0.250,.74,0.14%,2.51,1t start tie,7t 3 out d1
6,100,25,May 1,PIT,@,CIN,L3-4,GS-6,,5,6.0,5,3,2,1,7,1,0,3.50,4.02,24,99,69,17,11,7,9,2,3,0,58,,,4,0,0,23,0,0,0,1,0,1,1.38,-0.119,1.41,-0.07%,0.13,1b start a 1,6b 3 out d1
7,101,30,May 6,PIT,,MIL,W2-1,GS-7,,4,7.0,2,1,1,2,8,1,0,3.14,3.95,24,101,66,19,11,10,5,2,0,0,75,,,0,1,0,22,0,0,0,0,0,0,1.00,0.308,.97,0.18%,2.51,1t start tie,7t 3 out tie
8,102,35,May 11,PIT,@,ARI,L1-2,GS-7,L(1-4),4,7.0,7,2,2,1,5,0,0,3.06,3.70,28,103,69,15,16,14,8,6,0,0,59,,,0,0,0,26,4,0,0,1,0,0,.81,0.079,.53,0.03%,1.91,1b start tie,7b 3 out d2
9,103,40,May 17,PIT,,WSN,W6-1,GS-7,W(2-4),5,7.0,3,1,1,2,3,0,0,2.84,3.63,25,98,70,22,4,10,10,3,1,0,68,,,1,0,0,23,1,0,0,0,0,0,1.03,0.348,.62,0.13%,2.51,1t start tie,7t 3 out a2
10,104,45,May 22,PIT,@,ATL,L2-5,GS-5,L(2-5),4,4.2,10,5,5,1,2,2,1,3.36,4.05,24,100,67,12,8,8,12,7,2,0,25,,,0,0,0,22,1,0,0,2,0,1,1.14,-0.254,.89,-0.12%,-2.65,1b start tie,5b 1-- 2 out d4
11,105,50,May 27,PIT,,NYM,W5-4,GS-5,,4,5.0,10,4,4,1,3,3,0,3.65,4.52,27,98,64,14,7,8,15,8,0,0,33,,,0,0,0,26,3,1,0,0,0,1,.89,-0.207,.63,-0.09%,-1.50,1t start tie,5t 3 out d2
12,106,55,Jun 2,PIT,@,NYM,W12-7,GS-5,W(3-5),5,5.0,8,7,7,2,6,3,0,4.27,4.89,24,93,53,14,8,8,8,2,0,0,27,,,0,0,0,22,0,1,0,1,0,0,.93,-0.617,.63,-0.25%,-4.57,1b start a 1,5b 3 out d3
13,107,60,Jun 8,PIT,,MIA,L1-7,GS-5,L(3-6),5,4.2,11,7,7,1,5,0,0,4.83,4.69,26,94,66,19,6,9,11,9,0,0,18,,,1,0,0,25,5,0,0,0,0,0,.69,-0.300,.43,-0.11%,-4.93,1t start tie,5t 12- 2 out d7
14,108,65,Jun 13,PIT,,COL,W5-2,GS-7,W(4-6),4,7.0,3,1,1,3,3,0,0,4.54,4.60,27,100,60,18,6,11,10,6,1,0,67,,,0,0,0,23,0,0,0,1,0,1,1.28,0.303,1.02,0.15%,2.51,1t start tie,7t 3 out tie
15,109,70,Jun 19,PIT,@,MIL,W8-1,GS-7,W(5-6),5,7.0,3,1,1,2,5,1,0,4.28,4.59,25,103,64,19,6,11,7,3,1,0,70,,,0,0,0,23,0,0,0,1,0,0,.89,0.256,.76,0.13%,2.66,1b start tie,7b 3 out a7
16,110,75,Jun 24,PIT,@,STL,W7-3,GS-6,W(6-6),4,6.0,5,1,1,2,5,1,0,4.11,4.59,24,99,59,22,6,7,10,4,2,0,61,,,0,0,0,22,1,0,0,1,0,0,.76,0.183,.59,0.09%,2.04,1b start a 1,6b 3 out a6
17,111,80,Jun 30,PIT,,SFG,L5-13,GS-6,L(6-7),5,5.1,10,7,7,2,7,1,0,4.51,4.56,28,101,68,22,8,8,11,6,1,0,25,,,0,0,0,26,0,0,0,0,0,0,1.25,-0.380,.97,-0.18%,-3.18,1t start tie,6t 1-3 1 out d2
18,112,85,Jul 5,PIT,@,PHI,W5-2,GS-6,W(7-7),4,6.0,7,2,2,1,8,1,0,4.43,4.49,26,113,76,17,15,7,10,4,1,0,57,,,0,0,0,25,0,1,0,0,0,0,.93,0.103,.45,0.03%,1.04,1b start tie,6b 3 out a3
19,113,90,Jul 14,PIT,,STL,W5-2,GS-6,,8,6.0,4,2,2,0,4,1,0,4.35,4.46,22,102,65,20,5,8,10,2,1,0,60,,,1,0,0,22,0,0,0,0,0,0,.80,0.104,.58,0.05%,1.01,1t start tie,6t 3 out tie
20,114,95,Jul 19,PIT,,MIL,W3-2,GS-7,,4,7.0,6,1,1,0,10,0,0,4.18,4.22,27,103,72,24,11,13,4,1,1,0,71,,,0,0,0,27,1,0,0,0,0,0,1.05,0.341,1.15,0.22%,2.51,1t start tie,7t 3 out tie
21,115,100,Jul 24,PIT,@,SFG,W10-3,GS-6,W(8-7),4,6.0,6,2,2,4,4,0,0,4.12,4.20,27,115,67,17,9,10,9,6,2,0,52,,,0,0,0,23,1,0,0,0,0,0,.72,0.120,.71,0.07%,1.04,1b start a 2,6b 3 out a4
22,116,105,Jul 30,PIT,@,SDP,W7-1,GS-7,W(9-7),5,7.0,5,1,1,2,8,1,1,3.97,4.19,28,96,60,18,12,6,11,2,4,0,69,,,0,0,0,25,2,0,0,1,0,0,1.14,0.338,.74,0.13%,2.44,1b start a 1,7b 3 out a3
23,117,110,Aug 5,PIT,,SDP,L2-5,GS-6,L(9-8),5,6.0,8,3,3,2,5,1,1,4.00,4.23,29,102,63,10,9,8,14,6,4,0,47,,,1,0,0,26,2,0,0,0,0,0,1.00,-0.065,.72,-0.03%,0.01,1t start tie,6t 3 out d3
24,118,115,Aug 10,PIT,@,DET,W7-5,GS-8,W(10-8),4,8.0,6,3,3,1,7,1,0,3.96,4.19,29,102,73,24,7,7,14,6,4,0,64,,,0,0,0,28,0,1,0,2,0,0,.92,0.113,.80,0.06%,1.27,1b start a 1,8b 3 out a4
25,119,120,Aug 16,PIT,@,MIL,L6-7,GS-6,,5,6.0,5,4,4,2,9,3,0,4.04,4.32,25,109,72,29,9,5,9,4,0,0,53,,,0,0,0,23,0,0,0,0,0,0,.98,-0.064,.90,-0.04%,-0.87,1b start a 1,6b 3 out tie
26,120,125,Aug 21,PIT,,LAD,L5-6,GS-7,,4,6.1,8,5,5,2,7,1,1,4.16,4.33,31,112,73,21,12,9,12,5,1,0,42,,,0,0,0,28,1,0,0,0,0,1,1.42,-0.409,.64,-0.11%,-1.76,1t start tie,7t --- 1 out d2
27,121,130,Aug 26,PIT,@,CIN,W1-0,GS-7,W(11-8),4,7.0,5,0,0,0,6,0,0,3.99,4.21,25,100,70,18,15,15,5,1,1,0,73,,,2,0,0,24,0,0,0,1,0,0,1.30,0.484,.26,0.06%,3.66,1b start tie,7b 3 out a1
28,122,135,Sep 1,PIT,,CIN,L3-7,GS-6,L(11-9),5,6.0,6,5,5,3,6,0,0,4.11,4.15,26,101,58,19,10,8,9,4,0,0,43,,,1,0,0,22,2,1,0,1,1,0,.74,-0.251,.03,-0.01%,-1.99,1t start tie,6t 3 out d3
29,123,140,Sep 6,PIT,,CHC,L0-1,GS-8,,4,8.0,2,0,0,4,8,0,0,3.93,4.09,29,108,71,19,13,9,8,4,1,0,82,,,0,0,0,25,0,0,0,1,0,0,1.11,0.550,.10,0.03%,4.01,1t start tie,8t 3 out tie
30,124,146,Sep 12,PIT,@,MIL,L2-5,GS-6,L(11-10),5,6.0,7,5,5,2,10,1,0,4.04,4.05,26,96,69,18,18,6,8,4,1,0,46,,,1,1,0,24,2,0,1,0,0,1,1.06,-0.319,.00,0.00%,-1.87,1b start tie,6b 3 out d3
31,125,150,Sep 17,PIT,@,CIN,L2-5,GS-6,L(11-11),4,5.0,3,4,4,4,6,2,0,4.13,4.16,22,87,50,14,11,3,9,3,2,0,47,,,0,0,0,18,0,0,0,0,0,0,.91,-0.089,.00,0.00%,-1.39,1b start tie,6b --- 0 out d4
32,126,155,Sep 23,PIT,,STL,W11-6,GS-6,W(12-11),5,5.2,7,5,5,1,5,1,0,4.23,4.16,25,103,65,20,11,8,11,6,2,0,39,,,0,0,0,24,2,0,0,0,0,1,.53,-0.105,.00,0.00%,-0.43,1t start tie,6t 12- 2 out a7
33,127,160,Sep 29,PIT,@,WSN,L1-6,GS-6,L(12-12),5,5.1,8,3,3,1,7,0,0,4.26,4.08,22,103,62,20,6,5,9,6,1,0,46,,,1,0,0,21,2,0,0,1,0,0,.88,0.017,.00,0.00%,0.28,1b start tie,6b 12- 1 out d2